taluk,district
Saidabad,Hyderabad
Secunderabad,Hyderabad
Tirumalagiri,Hyderabad
Hyd,Hyderabad
Vikarabad,Hyderabad
Nawabpet,K.V.Rangareddy
Qutubullapur,K.V.Rangareddy
R,K.V.Rangareddy
Rr.,K.V.Rangareddy
Tandur,K.V.Rangareddy
Medchal,K.V.Rangareddy
Shamirpet,K.V.Rangareddy
Quthbullapur Mandal,Hyderabad
Malkagiri Manda,Hyderabad
Shabad,K.V.Rangareddy
Shamirpet Mandal,Hyderabad
Shameerpet,K.V.Rangareddy
Anantapur,Ananthapur
Singanamala,Ananthapur
Kundurpi,Ananthapur
Tadipatri,Ananthapur
Uravakonda,Ananthapur
Tadpatri,Ananthapur
Beluguppa,Ananthapur
Pamidi,Ananthapur
Peddavadugur,Ananthapur
Ammalladinne,Ananthapur
Yellanur,Ananthapur
Rayadurg,Ananthapur
Settur,Ananthapur
Shetturu,Ananthapur
Guntakal,Ananthapur
Raptadu,Ananthapur
Gummagatta,Ananthapur
Narpala,Ananthapur
Gooty,Ananthapur
Kalyandurg,Ananthapur
Brahma Samudram,Ananthapur
Bommanahal,Ananthapur
Brahmasamudram,Ananthapur
Peddapappur,Ananthapur
Kanekal,Ananthapur
Bukkrayasamudram,Ananthapur
Vajrakarur,Ananthapur
Putlur,Ananthapur
Yadiki,Ananthapur
Vidapanakal,Ananthapur
Brhama Samudram,Ananthapur
Bukkaraya Samudram,Ananthapur
Kambadur,Ananthapur
Pedda Vadagur,Ananthapur
Kuderu,Ananthapur
B K Samudram,Ananthapur
Kanaganapalli,Ananthapur
Garladinne,Ananthapur
D.Hirehal,Ananthapur
Rapthadu,Ananthapur
Vipanakal,Ananthapur
Herial,Ananthapur
Kudair,Ananthapur
Garladinna,Ananthapur
Bukkarayasamudram,Ananthapur
Peddapappuru,Ananthapur
Kalayandurg,Ananthapur
Putluru,Ananthapur
Shettur,Ananthapur
Muddanur,Cuddapah
Palamaner,Chittoor
Chittoor,Chittoor
Madanapalle,Chittoor
Puthalpattu,Chittoor
Mulakalacheruvu,Chittoor
Arugonda,Chittoor
Gangadhara Nellore,Chittoor
Murakambattu,Chittoor
Madanpalle,Chittoor
Chowdepalle,Chittoor
Venkatagirikota,Chittoor
Vengalrajukuppam,Chittoor
Kanipakam,Chittoor
Kuppam,Chittoor
Iral,Chittoor
Bangarupalem,Chittoor
Thavanampalle,Chittoor
Penumuru,Chittoor
Irala,Chittoor
Yadamarri,Chittoor
Peddapanjani,Chittoor
Srirangarajapuram,Chittoor
Ramasamudram,Chittoor
Santhipuram,Chittoor
Gudipala,Chittoor
Palasamudram,Chittoor
B.Kothakota,Chittoor
Ramakuppam,Chittoor
Punganur,Chittoor
Puthalapattu,Chittoor
Rayachoty,Cuddapah
Rayachoti,Cuddapah
Nandalur,Cuddapah
Sambepalle,Cuddapah
Chakrayapet,Cuddapah
Rajampet,Cuddapah
Porumamilla,Cuddapah
Atlur,Cuddapah
Cuddapah,Cuddapah
Pullampeta,Cuddapah
Lakkireddipalle,Cuddapah
Kodur,Cuddapah
Badvel,Cuddapah
B.Kodur,Cuddapah
Chitvel,Cuddapah
Khajipet,Cuddapah
Vontimitta,Cuddapah
Galiveedu,Cuddapah
Obulavaripalle,Cuddapah
Ramapuram,Cuddapah
Brahmamgarimattam,Cuddapah
Penagalur,Cuddapah
T Sundupalle,Cuddapah
Gopavaram,Cuddapah
Chinnamandem,Cuddapah
Kalasapadu,Cuddapah
Chinthakommadinne,Cuddapah
Sidhout,Cuddapah
Veeraballe,Cuddapah
Peddarachapalli,Cuddapah
Sri Avadhutha Kasinayana,Cuddapah
Penukonda,Ananthapur
Agali,Ananthapur
Amarapuram,Ananthapur
Bukkapatnam,Ananthapur
Amadagur,Ananthapur
Puttaparthi,Ananthapur
Madakasira,Ananthapur
Hindupur,Ananthapur
Bathalapalli,Ananthapur
Tadimarri,Ananthapur
Dharmavaram,Ananthapur
Bathalapalle,Ananthapur
Tanakallu,Ananthapur
Kothacheruvu,Ananthapur
Chennekothapalle,Ananthapur
Parigi,Ananthapur
Kanaganapalle,Ananthapur
Chilamathur,Ananthapur
Lepakshi,Ananthapur
Gudibanda,Ananthapur
Kadiri,Ananthapur
Somandepalli,Ananthapur
Roddam,Ananthapur
Mudigubba,Ananthapur
Gorantla,Ananthapur
Somandepalle,Ananthapur
C.k.palli,Ananthapur
Nallamada,Ananthapur
Nallacheruvu,Ananthapur
O.d. Cheruvu,Ananthapur
Rolla,Ananthapur
N.p. Kunta,Ananthapur
Tanakal,Ananthapur
Talupula,Ananthapur
Obuladevaracheruvu,Ananthapur
Gandlapenta,Ananthapur
C.k.. Palli,Ananthapur
Ramagiri,Ananthapur
Amadaguru,Ananthapur
C.k. Palli,Ananthapur
Kambaduru,Ananthapur
Obuladevacheruvu,Ananthapur
Ramgiri,Ananthapur
Puttaparthy,Ananthapur
Kurnool,Kurnool
Adoni,Kurnool
Devanakonda,Kurnool
Tuggali,Kurnool
Pattikonda,Kurnool
Gonegandla,Kurnool
Dhone,Kurnool
Bethamcherla,Kurnool
Pamulapadu,Kurnool
Veldurthi,Kurnool
Peapally,Kurnool
Velgode,Kurnool
Yemmiganur,Kurnool
Gadivemula,Kurnool
C.Belagal,Kurnool
Kallur,Kurnool
Panyam,Kurnool
Kodumur,Kurnool
Krishnagiri,Kurnool
Nandikotkur,Kurnool
Jupadu Bungalow,Kurnool
Maddikera (East),Kurnool
Pagidyala,Kurnool
Mantralayam,Kurnool
Srisailam,Kurnool
Nandavaram,Kurnool
Nandyal,Kurnool
Banaganapalli,Kurnool
Allagadda,Kurnool
Giddalur,Prakasam
Sanjamala,Kurnool
Pullalacheruvu,Prakasam
Cumbum,Prakasam
Racherla,Prakasam
Koilkuntla,Kurnool
Banaganapalle,Kurnool
Markapur,Prakasam
Dornipadu,Kurnool
Kolimigundla,Kurnool
Ardhaveedu,Prakasam
Peda Araveedu,Prakasam
Gospadu,Kurnool
Yerragondapalem,Prakasam
Tarlupadu,Prakasam
Dornala,Prakasam
Bestawaripeta,Prakasam
Donakonda,Prakasam
Koilakuntla,Kurnool
Tripuranthakam,Prakasam
Komarolu,Prakasam
Mahanandi,Kurnool
Bandi Atmakur,Kurnool
Allgadda,Kurnool
Markpur,Prakasam
Markapur Ho,Prakasam
Owk,Kurnool
Nandyal .,Kurnool
Sirvel,Kurnool
Banaganpallie,Kurnool
Chapad,Cuddapah
Pulivendla,Cuddapah
Simhadripuram,Cuddapah
Vaimpalle,Cuddapah
Payasampalle,Cuddapah
Mydekur,Cuddapah
Vallur,Cuddapah
Jammalamdugu,Cuddapah
S.Mydukur,Cuddapah
Verrapanayanipalle,Cuddapah
Balapanur,Cuddapah
Proddatur,Cuddapah
Kamalapuram,Cuddapah
Rajupalam,Cuddapah
Vempalle,Cuddapah
Jammalamadugu,Cuddapah
Duvvur,Cuddapah
Tallaproddatur,Cuddapah
Yerraguntla,Cuddapah
Tondur,Cuddapah
Vemula,Cuddapah
Veerapunayunipalle,Cuddapah
Nandimandalam,Cuddapah
Kondapuram,Cuddapah
Lavanur,Cuddapah
Jammalmadugu,Cuddapah
Pendlimarri,Cuddapah
Rajupalem,Cuddapah
Thondur,Cuddapah
Veerapunayanipalle,Cuddapah
Yearraguntla,Cuddapah
Mylavaram,Cuddapah
Vaimapalle,Cuddapah
Yellanoor,Cuddapah
Peddamudium,Cuddapah
Pulivedla,Cuddapah
Tirupati (Rural),Chittoor
K.v.b.puram,Chittoor
Nagari,Chittoor
Pichatur,Chittoor
Nindra,Chittoor
Pissatur,Chittoor
Piler,Chittoor
Srikalahasti,Chittoor
Akkurthi,Chittoor
Vadamalapeta,Chittoor
Karvetinagar,Chittoor
Satyavedu,Chittoor
Gurramkonda,Chittoor
Thondamanadu,Chittoor
Yerpedu,Chittoor
Vayalpad,Chittoor
Puttur,Chittoor
Buchinaidu Kandriga,Chittoor
Renigunta,Chittoor
Chandragiri,Chittoor
Valmikipuram,Chittoor
Tirupati (Urban),Chittoor
Kambhamvaripalle,Chittoor
Chinnagottigallu Mandal,Chittoor
Bhakarapet,Chittoor
Vedurukuppam,Chittoor
Vadamalpet,Chittoor
Kalikiri,Chittoor
Tirupati Rural,Chittoor
Rompicherla,Chittoor
Pulicherla,Chittoor
Chinnagottigallu,Chittoor
Varadaiahpalem,Chittoor
Pakala,Chittoor
Damalacheruvu,Chittoor
Kalakada,Chittoor
G.k.palle,Chittoor
Vijayapuram,Chittoor
Narayanavanam,Chittoor
Pileru,Chittoor
Yerravaripalem,Chittoor
Venkata Krishna Puram,Chittoor
Pannur,Chittoor
K.V.B.Puram,Chittoor
Poduru (mdl),West Godavari
Palakol (mdl),West Godavari
Akividu (mdl),West Godavari
Attili (mdl),West Godavari
Atchanta (mdl),West Godavari
Bhimavaram,West Godavari
Bhimavaram (mdl),West Godavari
Ellamanchili (mdl),West Godavari
Iragavaram(mdl),West Godavari
Tanuku,West Godavari
Iragavaram (mdl),West Godavari
Kalla (mdl),West Godavari
Poduru(mdl),West Godavari
Peravali (mdl),West Godavari
Viravasaram(mdl),West Godavari
Palacole,West Godavari
Manchili (mdl),West Godavari
Tanuku (mdl),West Godavari
Penumantra (mdl),West Godavari
Minavilluru(mdl),West Godavari
Palakoderu (mdl),West Godavari
Mogalturu(mdl),West Godavari
U.varam(mdl),West Godavari
Moyyeru(mdl),West Godavari
Narasapuram,West Godavari
Narsapur (mdl),West Godavari
Palakol(mdl),West Godavari
Penugonda (mdl),West Godavari
Viravasaram (mdl),West Godavari
Bhimavaram(mdl),West Godavari
Undi (mdl),West Godavari
Velpur (mdl),West Godavari
Palakoderu(mdl),West Godavari
Vundrajavaram (mdl),West Godavari
Kaikaram,West Godavari
Jeelugumilli,West Godavari
Kamavarapukota,West Godavari
Gundugolanu,West Godavari
J.r.gudem,West Godavari
Buttayagudem,West Godavari
Pulla,West Godavari
K.kota,West Godavari
S.v.peta,West Godavari
Dwarakatirumala,West Godavari
Eluru,West Godavari
Koyyalagudem,West Godavari
Chintalapudi,West Godavari
Vijaayrai,West Godavari
Bhimadole,West Godavari
Dharmajigudem,West Godavari
Lakkavaram,West Godavari
Chebrole,West Godavari
D.tirumala,West Godavari
Kovvali,West Godavari
Pragadavaram,West Godavari
T.narasapuram,West Godavari
Gopannapalem,West Godavari
Pedapadu,West Godavari
Jangareddigudem,West Godavari
Padapadu,West Godavari
Chataparru,West Godavari
J.r.gudem Bo,West Godavari
Vijayarai,West Godavari
Tadikalapudi,West Godavari
Kannapuram,West Godavari
S.v. Peta,West Godavari
Denduluru,West Godavari
Kaikalur,Krishna
Pamarru,Krishna
Musunuru,Krishna
Mudinepelli,Krishna
Bantumilli,Krishna
Vunguturu,Krishna
Nandivada,Krishna
Gudlavalleru,Krishna
Reddigudem,Krishna
Nuzvid,Krishna
Vuyyuru,Krishna
Bapulapadu,Krishna
Mandavalli,Krishna
Gudivada,Krishna
Pedaparupudi,Krishna
Mudinepalli,Krishna
Vissannapet,Krishna
Chatrai,Krishna
Kruthivennu,Krishna
Kalidindi,Krishna
Kankipadu,Krishna
Kalidinid,Krishna
Billanapalli,Krishna
Krithivennu,Krishna
Vuyyur,Krishna
Nuz Id,Krishna
Kakulapadu,Krishna
Mudinepalle,Krishna
Kaluvoya,Nellore
Pellakur,Nellore
Manubolu,Nellore
Tada,Nellore
Podalakur,Nellore
Venkatagiri,Nellore
Balayapalli,Nellore
Sydapuram,Nellore
Sullurpeta,Nellore
Survepalli,Nellore
Naidupeta,Nellore
Vojili,Nellore
Chittamuru,Nellore
Vakadu,Nellore
Chillakur,Nellore
Virur,Nellore
Naidupet,Nellore
Rapur,Nellore
Chittamur,Nellore
Dakkili,Nellore
Chejerla,Nellore
Venkatachalam,Nellore
Doravarisatram,Nellore
Venkatachala Satram,Nellore
Kota,Nellore
Guntur,Guntur
Tulluru,Guntur
Tadikonda,Guntur
Pedanandipadu,Guntur
Kakumanu,Guntur
Mangalagiri,Guntur
Mangalagiri Ho,Guntur
Ponnekallu,Guntur
Pedapalem,Guntur
Nutakki,Guntur
Prathipadu,Guntur
Amaravathi,Guntur
Lemalle,Guntur
Pedakakani,Guntur
Pedavadlapudi,Guntur
Namburu,Guntur
K.c.works,Guntur
Tadepalle,Guntur
Medikonduru,Guntur
P.r.gudem,Khammam
Kunavaram,Khammam
Nkpally,Khammam
Bonnakal,Khammam
Kothagudem,Khammam
Aswapuram,Khammam
Vvpalem,Khammam
Charla,Khammam
Burgampahad,Khammam
Madhira,Khammam
Manuguru,Khammam
Tanikella,Khammam
Gokinepalli,Khammam
Aswaraopet,Khammam
Manugurq,Khammam
Chintakani,Khammam
Dammapeta,Khammam
Tallada,Khammam
Ch.madharam,Khammam
Vemsur,Khammam
T. Palem,Khammam
T.palem,Khammam
Enkoor,Khammam
Dummagudem,Khammam
Siripuram,Khammam
Aswaraopeta,Khammam
Manugur,Khammam
Bnpahad,Khammam
Yellandu,Khammam
Bhadrachalam,Khammam
Subled,Khammam
Khammam,Khammam
B.n.pahad,Khammam
Sathupalli,Khammam
Penuballi,Khammam
Bayyaram,Khammam
Palair,Khammam
Bommakal,Khammam
Garla,Khammam
Khammam (Urban),Khammam
Karepalli,Khammam
Venkatapuram,Khammam
Chintur,Khammam
Tallampahad,Khammam
Nellipaka,Khammam
Komminepalli,Khammam
Vr Puram,Khammam
Mothugudem,Khammam
Bonakal,Khammam
Julurupadu,Khammam
Burghampahad,Khammam
Pindipole,Khammam
Paloncha,Khammam
Donkarayi,East Godavari
Yerrupalem,Khammam
Gdpeta,Khammam
Wyra,Khammam
Sujathanagar,Khammam
Kusumanchi,Khammam
Snpuram,Khammam
Gouthampur,Khammam
Vrpuram,Khammam
Julurpahad,Khammam
Yellandu Colls,Khammam
Burgamapahad,Khammam
S.n.puram,Khammam
Cheruvumadhram,Khammam
Awaraopet,Khammam
Nkpalli,Khammam
Julurupad,Khammam
Palwancha,Khammam
P R Gudem,Khammam
Vkhani,Khammam
Vennkatapuram,Khammam
Pindipolu,Khammam
Yelladu,Khammam
V.r.puram,Khammam
Rudrampur,Khammam
Satyanarayanapuram,Khammam
Sarapaka,Khammam
Sathupalle,Khammam
Sujathanagarq,Khammam
Cheruvumadharam,Khammam
Charal,Khammam
Pedana,Krishna
Guduru,Krishna
Avanigadda,Krishna
Movva,Krishna
Machilipatnam,Krishna
Nagayalanka,Krishna
Challapalli,Krishna
Bandar,Krishna
Ghantasala,Krishna
Mopidevi,Krishna
Koduru,Krishna
Gudlavallru,Krishna
Bantumalli,Krishna
Machillipatnam,Krishna
Sattenapalle,Guntur
Durgi,Guntur
Vinukonda,Guntur
Nuzendla,Guntur
Gurazalla,Guntur
Phirangipuram,Guntur
Krosuru,Guntur
Ipuru,Guntur
Narasaraopet,Guntur
Chilakaluripet,Guntur
Atchampet,Guntur
Pedakurapadu,Guntur
Bellamkonda,Guntur
Nadendla,Guntur
Veldurthy,Guntur
Nekarikallu,Guntur
Machavaram,Guntur
Piduguralla,Guntur
Karempudi,Guntur
Dachepalle,Guntur
Muppalla(sap),Guntur
Edlapadu,Guntur
Macherla,Guntur
Rentachintala,Guntur
Edlapdu,Guntur
Bollapalle,Guntur
Savalyapuram,Guntur
Sttenapalle,Guntur
Gurzalla,Guntur
Muppalla,Guntur
Narassaraopet,Guntur
Pedakurpadu,Guntur
Pidugurlalla,Guntur
Muppalla(sa),Guntur
Nellore,Nellore
Bitragunta,Nellore
Vidavalur,Nellore
Marripadu,Nellore
Kavali,Nellore
Damavaram,Nellore
Allur Mandalam,Nellore
Revur,Nellore
Anantasagaram,Nellore
Muthukur,Nellore
Siddanakonduru,Nellore
Anemadugu,Nellore
Jaladanki,Nellore
A.s.peta,Nellore
Anumasamudrampeta Mandal,Nellore
Duthalur,Nellore
Karatampadu,Nellore
Gandipalem,Nellore
Seetharamapuram,Nellore
Udayagiri,Nellore
Allur,Nellore
Vinjamoor,Nellore
Nandipadu,Nellore
Dagadarthi,Nellore
Kodavaluru,Nellore
Buchireddypalem,Nellore
Buchireddipalem Mandalam,Nellore
Chakalakonda,Nellore
Kovur,Nellore
Kaligiri,Nellore
Varikuntapadu,Nellore
Kodavalur,Nellore
Buchireddypalem Mandalam,Nellore
Tp Gudur,Nellore
Gandavaram,Nellore
Mypadu,Nellore
Gumparlapadu,Nellore
Indukurpeta,Nellore
Brahmadevam,Nellore
Atmakur(nl),Nellore
Ananatasagaram,Nellore
Kodavaluru Mandalam,Nellore
Kovur Mandalam,Nellore
S.s.project,Nellore
Nr Palem,Nellore
Muthukur Mandalam,Nellore
Indukurpeta Mandalam,Nellore
Northrajupalem Mandalam,Nellore
Ss Project,Nellore
Seetaramapuram,Nellore
Kodavalur Mandalam,Nellore
Vinjamur,Nellore
Ongole,Prakasam
Parchur,Prakasam
Kanigiri,Prakasam
Kotha Patnam,Prakasam
Voletivaripalem,Prakasam
Kurichedu,Prakasam
Chirala,Prakasam
Chiral,Prakasam
Prakasam,Prakasam
Addanki,Prakasam
Vetapalem,Prakasam
Tangutur,Prakasam
Podili,Prakasam
Ganapavaramandalam,West Godavari
Ganapavaram Mandalam,West Godavari
Peravali Mandalam,West Godavari
Pentapadu Mandalam,West Godavari
Nallajerla Mandal,West Godavari
Tallapudi Mandalam,West Godavari
Tadepalligudem,West Godavari
Tadepalligudem Mandalam,West Godavari
Ganapavarammandal,West Godavari
Kovvuru Mandalam,West Godavari
Nallajerla Mandalam,West Godavari
Nidadavole Mandalam,West Godavari
Nallajarlamandalam,West Godavari
Vunguturu Mandalam,West Godavari
Devarapalli Mandalam,West Godavari
Polavarammandal,West Godavari
Nidadavole,West Godavari
Gopalapuram Mandalam,West Godavari
Ganapavaram Mandal,West Godavari
Polavaram Mandalam,West Godavari
Nidadavolemandalam,West Godavari
Pentapadu Mandal,West Godavari
Chagallu Mandal,West Godavari
Chagally Mandalam,West Godavari
Nallajarla Mandalam,West Godavari
